Chapter,Question,Question: description,Individual Indicator Score,Source Legislation,Impact,Timeframe for Indicator,References,"References, 2","References, 3","References, 4",Overall Pillar Score
12,12.5,Low De Minimis,0,"Decision of the Eurasian Economic Commission No. 107 on the Categories of Goods for Personal Use and Methods of their Import, including Value, Weight, and Quantity Import Standards (О категориях товаров для личного пользования и способах их ввоза, включая стандарты по стоимости, весу и количеству импортируемых товаров);

Decision of the Eurasian Economic Commission No. 87 on the Value and Weight Limits for Goods Imported via International Mail for Personal Use (О пределах стоимости и веса товаров, ввозимых для личного пользования посредством международной почты)","The de minimis thresholds for duty-free importation of personal use goods into Eurasian Economic Union (EAEU) member states have evolved over time and currently depend on the mode of transport and import date. The foundational framework was established by Decision No. 107 of 2017 Appendix 1, which first set the categories of goods for personal use and initial value, weight, and quantity standards. 

On October 22, 2024, the EEC Council Decision No. 87 dated October 18, 2024, introduced changes to the value, weight, and/or quantity norms within which goods for personal use are imported into the customs territory of the EAEU without payment of customs duties and taxes, as established by EEC Council Decision No. 107 dated December 20, 2017. The new version clarifies the value, weight, and/or quantity norms for the importation of goods for personal use sent by international postal shipments. These are as follows:
- For goods — the value does not exceed the equivalent of 200 euros, and the gross weight does not exceed 31 kg;
- For tobacco; tobacco products; vapes — 200 cigarettes, or 50 cigars (cigarillos), or 200 heated tobacco products (“sticks”), or 250 grams of tobacco, or assorted products with a total weight of no more than 250 grams.

Therefore, as of 2025, the EAEU maintains a de minimis threshold of €200 (approximately USD 230) and 31 kg for goods imported for personal use via international mail.  ","Since December 2017;

Since November 2024",https://www.alta.ru/tamdoc/17sr0107/#pril1,https://www.alta.ru/tamdoc/24sr0087/,,,
12,12.6,Domain name requirements,0,"Policy of Domain Names Registration in "".AM"" AND "".ՀԱՅ"" Domain Zones 2017 ","The Internet Society of Armenia (ISOC-AM) is the main body responsible for the registration of .am and .հայ domains. It defines the rules and conditions for domain registration in Armenia.

In Armenia, a local representative is not strictly required to register a .am or .հայ domain name. Both local and international individuals or organizations can register these domains through the Internet Society of Armenia (ISOC-AM) without needing to have a local administrative contact. This makes the process accessible to international businesses and individuals who wish to operate an Armenian domain without having a local presence.

According to the Policy of Domain Names Registration in "".AM"" and "".հայ"" Domain Zones (2017), there is no requirement for registrants to have a physical presence in Armenia. The policy allows any individual or entity, regardless of their location, to register domain names under these country code top-level domains (ccTLDs). This inclusive approach facilitates global participation and supports the internationalization of Armenia's internet presence.",Since October 2017,https://www.isoc.am/wp-content/uploads/2022/12/policy_0.pdf,,,,
12,12.7,Local presence requirements for online service providers,0,Law on Electronic Communications 2005,"This law provides the framework for telecommunications and electronic communications services in Armenia. While it regulates the operation of electronic communications providers, it does not impose specific local presence requirements for online platforms or digital services like e-commerce, social media, or cloud services.

Article 4 specifies that any entity providing telecommunications services must comply with the requirements set by the Public Services Regulatory Commission (PSRC), but no specific mandate for local presence is mentioned for purely online services.","Since January 1, 2006, last amended in November 19, 2021",https://www.arlis.am/Annexes/4/elektr_com_en.pdf,,,,
12,12.7,Local presence requirements for online service providers,0,Law on Foreign Investments 1994,"Armenia’s Law on Foreign Investments promotes a liberal approach to foreign investment, allowing foreign companies to operate freely in most sectors, including online services. There are no restrictions on foreign equity or local commercial presence requirements for online service providers under this law, meaning foreign entities can operate without establishing a physical office in Armenia.

Article 5 of the law ensures that foreign companies have the right to operate in Armenia under the same conditions as domestic companies, without additional presence requirements.","Since July 1994, amended in October 2006",https://www.mfa.am/filemanager/Statics/36_en.pdf,,,,
12,12.8,Lack of legal framework for online consumer protection,0,Law on Consumer Protection 1996,"This law provides general protections for consumers in Armenia, including those purchasing goods and services online. It guarantees the right to accurate information, the right to return goods, and protection against unfair or deceptive practices.

Article 5 specifies that consumers have the right to receive clear and accurate information about products and services, a critical aspect for online transactions.","Since June 1996, last amended in June 2023","http://www.parliament.am/legislation.php?sel=show&ID=1506&lang=eng , https://cis-legislation.com/document.fwx?rgn=3625 , https://www.armenianow.com/pdf/ci-eng.pdf",,,,
12,12.8,Lack of legal framework for online consumer protection,0,Law on Electronic Communications 2005,"Chapter 9 of the Law stipulates consumer protection, addressing various consumer protection issues. For instance, Article 46 (Customer service)  requires operators or service providers to maintain at least one operational office in each geographic area they serve, providing information on services, tariffs, and billing adjustments. Tariffs and geographical zone maps must be accessible at these offices.

Article 47 (Repair and elimination of network impairments) mandates that end-users report service impairments to the operator's repair service, which must restore service within a reasonable time. Operators are also required to submit consolidated data on impairments to the Regulator, available for public inspection.","Since July 2005, last amended in August 2018",https://www.arlis.am/Annexes/4/elektr_com_en.pdf,,,,
12,12.9,Not in the United Nations Convention of Electronic Communications,1,Lack of signature of the UN Convention on Electronic Communications,Lack of signature of the United Nations Convention on Electronic Communications,Last reviewed in October 2024,https://uncitral.un.org/en/texts/ecommerce/conventions/electronic_communications/status,,,,
12,12.10,Not in the UNCITRAL Model Law on Electronic Commerce,0.50,Lack of adoption of the UNCITRAL Model Law on Electronic Commerce,Armenia has not notified its adoption of the UNCITRAL Model Law on Electronic Commerce to the UNCITRAL Secretariat.,Last reviewed in October 2024,https://uncitral.un.org/en/texts/ecommerce/modellaw/electronic_commerce/status,,,,
12,12.11,Not in the UNCITRAL Model Law on Electronic Signatures,0.50,Lack of adoption of the UNCITRAL Model Law on Electronic Signatures,Armenia has not notified its adoption of the UNCITRAL Model Law on Electronic Signatures to the UNCITRAL Secretariat.,Last reviewed in October 2024,https://uncitral.un.org/en/texts/ecommerce/modellaw/electronic_signatures/status,,,,
,,,,,,,,,,Overall RDTII score,0.213
,,,,,,,,,,,
