Chapter,Question,Question: description,Individual Indicator Score,Source Legislation,Impact,Timeframe for Indicator,References,"References, 2","References, 3","References, 4",Overall Pillar Score,
5,5.5,Licensing requirements in telecom sector for operators,0,"Law No. 214 on Licensing, 2007 (Қазақстан Республикасының 2007 жылғы 11 қаңтардағы N 214 Заңы. Күші жойылды - Қазақстан Республикасының 2014 жылғы 16 мамырдағы № 202-V Заңымен) ;

Law No. 202-V on Permissions and Notifications, 2014 (Қазақстан Республикасының Заңы 2014 жылғы 16 мамырдағы № 202-V ҚРЗ.)","Article 22 of Law No.214 mandates companies providing telecommunications services to acquire an operating license.

According to Article 4 of Law No.214, issue of licences shall be carried out on the equal grounds and equal conditions for all the persons, meeting requirements for this type of activity.

Article 5 of Law No.202-V emphasizes that licensing requirements must balance state interests with those of businesses and consumers, ensuring that the regulatory framework is relevant, effective, and does not impose unnecessary burdens on applicants.
 
Article 20 of Law No.202-V clarifies that foreign legal entities must be granted permissions equally with domestic entities unless otherwise specified by Kazakh law or international treaties.

","Since January 2007, last amended in May 2014;

Since May 2014, last amended in August 2024",https://adilet.zan.kz/kaz/docs/Z070000214_,https://adilet.zan.kz/kaz/docs/Z1400000202,https://adilet.zan.kz/eng/docs/Z070000214_,https://adilet.zan.kz/eng/docs/Z1400000202,,
5,5.6,Not in the WTO Telecom Reference Paper,0,WTO Telecom Reference Paper,Kazakhstan has attached the WTO Telecom Reference Paper to its schedule of commitments,Since 2016,https://docs.wto.org/dol2fe/Pages/FE_Search/FE_S_S009-DP.aspx?language=E&CatalogueIdList=226876&CurrentCatalogueIdIndex=0&FullTextHash=&HasEnglishRecord=True&HasFrenchRecord=True&HasSpanishRecord=True,https://www.wto.org/english/tratop_e/serv_e/telecom_e/telecom_highlights_commit_exempt_e.htm#country,https://www.gov.kz/memleket/entities/mdai/activities/8?lang=en,,,
5,5.7,Lack of independent telecom authority,1,"Law No.567 on Communications, 2004 (Қазақстан Республикасының 2004 жылғы 5 шілдедегі N 567 Заңы) ;

Order No.19286 on approval of the Regulations of the Republican State Institution Telecommunications Committee of the Ministry of Digital Development, Innovation and Aerospace Industry of the Republic of Kazakhstan, 2019 (Қазақстан Республикасының Цифрлық даму, инновациялар және аэроғарыш өнеркәсібі министрінің м.а. 2019 жылғы 16 тамыздағы № 199/НҚ бұйрығы. Қазақстан Республикасының Әділет министрлігінде 2019 жылғы 23 тамызда № 19286 болып тіркелді.)","Kazakhstan does not have an independent telecom authority. Telecommunications Committee of the Ministry of Digital Development, Innovations and Aerospace Industry is the competent body regulating the telecommunications sector. The Ministry follows, inter alia, acts of the Government. 

According to  Article 4 of Law No.567:
1. State regulation and control of the activity in the field of communications shall be carried out on the basis of legal groundwork, licensing of separate types of activity, control of compliance with the legislation of the Republic of Kazakhstan in the field of communications.
2. State management in the field of communications shall be carried out by the President of the Republic of Kazakhstan, Government of the Republic of Kazakhstan and authorized body.
3. State control over compliance with the legislation of the Republic of Kazakhstan in the field of communications shall be carried out by the authorized body and its territorial subdivisions.","Since April 2004, last amended in August 2024;

Since August 2019 last amended in October 2022 ",https://adilet.zan.kz/kaz/docs/Z040000567_,https://adilet.zan.kz/kaz/docs/V1900019286,https://www.gov.kz/memleket/entities/mdai/activities/8?lang=en,,,
6,6.1,"Ban and local processing requirements
Exception: Not score data localization measure applied to government data.",0,"Law No. 417-V On Informatization 2015 (Қазақстан Республикасының Заңы 2015 жылғы 24 қарашадағы № 418-V ҚРЗ) 

",There's no bans on personal data tranfer or local processing requirement in Kazakhstan currently. ,Since November 2015 last amended in June 2024  ,https://adilet.zan.kz/kaz/docs/Z1500000418,https://adilet.zan.kz/eng/docs/Z1500000418,,,0.620,
6,6.2,"Local storage requirements
Exception: Not score data localization measure applied to government data.",1,"Law No. 94-V on Personal Data and Protection, 2013 (Қазақстан Республикасының 2013 жылғы 21 мамырдағы № 94-V Заңы)","Article 12(2) of the Personal Data Law states that personal data shall be stored by the owner and/or operator, as well as by a third party in a database located in the territory of the Republic of Kazakhstan.","Since May 2013, last amended in February 2024 ",https://adilet.zan.kz/kaz/docs/Z1300000094,http://adilet.zan.kz/eng/docs/Z1300000094,,,,
6,6.2,"Local storage requirements
Exception: Not score data localization measure applied to government data.",1,"Law No. 417-V On Informatization 2015 (Қазақстан Республикасының Заңы 2015 жылғы 24 қарашадағы № 418-V ҚРЗ) 

","Article 56-1 of the Law on Informatization requires that internet resources with "".kz"" and "".қaz"" domains must be hosted on hardware and software complexes located in Kazakhstan. In other words, an internet resource (website, web application, web service) using a "".kz"" or "".қaz"" domain must be hosted on a server (owned / rented / cloud hosted / VDS hosted / virtually hosted) in a data center (server / office) located in Kazakhstan. The server must also be connected to a Kazakh internet provider and use a (dedicated or shared) Kazakhstan IP address. 

Article 36.8) of Law No. 417-V On Informatization states that Personal data contained in electronic information resources is stored by the owner and (or) operator, as well as a third party in an electronic database located in a server room or data processing center located in the territory of the Republic of Kazakhstan, with the adoption of the necessary measures to protect personal data in accordance with the procedure determined by the authorized body.",Since November 2015 last amended in June 2024  ,https://adilet.zan.kz/kaz/docs/Z1500000418,https://adilet.zan.kz/eng/docs/Z1500000418,,,,
6,6.3,"Infrastructure requirements
Exception: Not score data localization measure applied to government data.",1,"Law No. 567-V on Communications, 2004 (Қазақстан Республикасының 2004 жылғы 5 шілдедегі N 567 Заңы)","Article 21(3) of the Law of the Republic of Kazakhstan on Communications stipulates that operators of communication networks of all categories included in the unified telecommunications network of the Republic of Kazakhstan shall be obliged to create at their own expense a system of centralized management of their networks, which must be located on the territory of the Republic of Kazakhstan.","Since July 2004, last amended in August 2024",https://adilet.zan.kz/kaz/docs/Z040000567_,http://adilet.zan.kz/eng/docs/Z040000567_,,,,
6,6.4,"Conditional flow regimes
Exception: Not score data localization measure applied to government data.",1,"Law No. 94-V on Personal Data and Protection, 2013 (Қазақстан Республикасының 2013 жылғы 21 мамырдағы № 94-V Заңы)","Article 16 of Law No.94 V permits trans-border transfer of personal data under conditions below: 
- Trans-border transfer of personal data to the territory of the foreign states shall be carried out only in the case of ensuring of protection of personal data by these states in accordance with this Law;
- Trans-border transfer of personal data to the territory of the foreign states, not ensuring protection of personal data may be carried out in the cases of:
  1) existence of the consent of subject or his (her) legal representative to the trans-border transfer of his (her) personal data;
  2) provided international treaties, ratified by the Republic of Kazakhstan;
  3) provided by the Laws of the Republic of Kazakhstan, if it is necessary for the purposes of protection of constitutional order, protection of public order, rights and freedoms of person and citizen, health and morals of population;
  4) protection of constitutional rights and freedoms of person and citizen, if reception of the consent of subject or his (her) legal representative is impossible.","Since May 2013, last amended in February 2024 ",https://adilet.zan.kz/kaz/docs/Z1300000094,http://adilet.zan.kz/eng/docs/Z1300000094,,,,
6,6.5,Not in an agreement with binding commitments on data transfer.,1,Law No.113-VII ZRK On ratification of the Agreement on Mutual Legal Assistance on Administrative Matters in the Field of Personal Data Exchange 2022 (Қазақстан Республикасының Заңы 2022 жылғы 1 сәуірдегі № 113-VII ҚРЗ),"Kazakhstan has not joined any agreement with binding commitments to open transfers of data across borders. 

The Law of the Republic of Kazakhstan “On Ratification of the Agreement on Mutual Legal Assistance on Administrative Issues in the Field of Exchange of Personal Data” No. 113-VII was signed on April 1, 2022. The agreement is aimed at ensuring effective cooperation between the CIS member states by creating a system for providing mutual legal assistance on administrative issues in the field of exchange of personal data","Last reviewed in September 2024;

Since April 2022",https://www.wto.org/english/thewto_e/countries_e/kazakhstan_e.htm,https://adilet.zan.kz/kaz/docs/Z2200000113,,,,
7,7.1,Lack of comprehensive legal framework for data protection,0,"Law No. 94-V on Personal Data and Protection, 2013 (Қазақстан Республикасының 2013 жылғы 21 мамырдағы № 94-V Заңы)","According to Article 2 of the Law No. 94-V, the purpose of the law is to ensure the protection of personal data rights and freedoms during the collection and processing of personal data. The law governs all public relations related to personal data and sets out legal foundations for the collection, processing, and protection of this data. It applies to all sectors without discrimination, establishing a horizontal legal framework for personal data protection across various sectors, but with specific provisions allowing sectoral adjustments in other laws or acts by the President of Kazakhstan​","Since May 2013, last amended in February 2024 ",https://adilet.zan.kz/kaz/docs/Z1300000094,http://adilet.zan.kz/eng/docs/Z1300000094,,,0.530,
7,7.2,"Minimum period of data retention requirements
Exception: Not score requirement applied to government data.",1,"Law No.18-VIII on Online Platforms and Online Advertising,  2023 (Қазақстан Республикасының Заңы 2023 жылғы 10 шiлдедегi № 18-VIII ҚРЗ)","As per Article 9(4) (7) of the Law No. 18-VIII, online platform owners are required to publish publicly available information about the average monthly number of users on their platform in Kazakhstan over the past six months. 

Additionally, Article 22(2) of the same law mandates that online platforms must securely store information about online advertising, including targeted online advertising, for at least one year following the last placement or distribution of the advertisement.

",Since July 2023,https://adilet.zan.kz/kaz/docs/Z2300000018/info,https://adilet.zan.kz/eng/docs/Z2300000018,,,,
7,7.2,"Minimum period of data retention requirements
Exception: Not score requirement applied to government data.",0,"Law No. 94-V on Personal Data and Protection, 2013 (Қазақстан Республикасының 2013 жылғы 21 мамырдағы № 94-V Заңы)","Article 12 of the Law No. 94-V on Personal Data and Protection mandates that the accumulation and storage of personal data should be conducted by collecting only the data that is necessary and sufficient for the tasks performed by the data owner, operator, or a third party. According to Article 12(2), personal data must be stored in a database located within Kazakhstan’s territory, and the duration for which personal data is retained is determined by the period necessary to achieve the purposes for which the data was collected and processed. The law states that data storage can extend beyond this period only if specified by other legislative provisions of Kazakhstan. ","Since May 2013, last amended in February 2024",https://adilet.zan.kz/kaz/docs/Z1300000094,http://adilet.zan.kz/eng/docs/Z1300000094,,,,
7,7.3,Data Protection Impact Assessment (DPIA) or Data Protection Officer (DPO) requirements,1,"Law No. 94-V on Personal Data and Protection, 2013 (Қазақстан Республикасының 2013 жылғы 21 мамырдағы № 94-V Заңы)","According to Article 25(2)(10) of Law No.94-V,  there is a requirement for legal entities (including companies processing personal data) to appoint a person responsible for the organization of personal data processing. This person ensures compliance with data protection regulations, making them analogous to a Data Protection Officer (DPO). The duties include overseeing internal compliance, educating employees about data protection laws, and handling inquiries related to personal data. 

According to Article 25(3) of the Personal Data Law, such a person is entrusted with the following duties:
i) exercise internal control over the observance by the owner and/or operator and its employees of the legislation of the Republic of Kazakhstan on personal data and its protection, including the requirements for the protection of personal data;
ii) inform the employees of the owner and/or operator of the provisions of the legislation of the Republic of Kazakhstan on personal data and its protection regarding processing personal data, the requirements for the protection of personal data; and
iii) organize the reception and processing of requests and inquiries of personal data subjects or their legal representatives and/or exercise control over the reception and processing of such requests and inquiries","Since May 2013, last amended in February 2024 ",https://adilet.zan.kz/kaz/docs/Z1300000094,http://adilet.zan.kz/eng/docs/Z1300000094,,,,
7,7.4,Requirements to allow government access to personal data,1,"Law No. 94-V on Personal Data and Protection, 2013 (Қазақстан Республикасының 2013 жылғы 21 мамырдағы № 94-V Заңы)","The Law on Personal Data and Protection (No. 94-V, 2013) of Kazakhstan permits government access to personal data without a court decision in specific circumstances. Article 9 outlines exceptions where the state authorities, including law enforcement, can collect and process personal data without the individual's consent. These include activities for law enforcement, national security, taxation, and customs administration. This provision grants broad discretionary power to the government to access personal data for official purposes, effectively bypassing judicial oversight in these cases.","Since May 2013, last amended in February 2024",https://adilet.zan.kz/kaz/docs/Z1300000094,http://adilet.zan.kz/eng/docs/Z1300000094,,,,
8,8.1,Lack of safe harbour for copyright infringements,1,"Law No.18-VIII on Online Platforms and Online Advertising,  2023 (Қазақстан Республикасының Заңы 2023 жылғы 10 шiлдедегi № 18-VIII ҚРЗ)","The Law On Online Platforms and Online Advertising states liability for violation of the legislation on online platforms and online advertising for online platforms.

Article 9, obligates owners and legal representatives to ""take measures to counter the spread of illegal content"". Which implies a responsibility to address copyright infringement as part of their content moderation efforts.

Article 13 mandates that online platform owners must take measures to improve content moderation systems, artificial intelligence algorithms, and the safety of minors on the platform. This further suggests a requirement to actively monitor and control the content hosted on their platforms. 

Due to these active obligations, Kazakhstan lacks of a safe harbour for copyrights infrigements.
",Since July 2023,https://adilet.zan.kz/kaz/docs/Z2300000018/info,https://adilet.zan.kz/eng/docs/Z2300000018,,,0.880,
8,8.2,Export restrictions on ICTgoods and online services,1,"Law No.18-VIII on Online Platforms and Online Advertising,  2023 (Қазақстан Республикасының Заңы 2023 жылғы 10 шiлдедегi № 18-VIII ҚРЗ)","The Law On Online Platforms and Online Advertising states liability for violation of the legislation on online platforms and online advertising for online platforms.

Article 9, obligates owners and legal representatives to ""take measures to counter the spread of illegal content"". Which implies a responsibility to address copyright infringement as part of their content moderation efforts.

Article 13 mandates that online platform owners must take measures to improve content moderation systems, artificial intelligence algorithms, and the safety of minors on the platform. This further suggests a requirement to actively monitor and control the content hosted on their platforms. 

Due to these active obligations, Kazakhstan lacks of a safe harbour for illegal activities.

",Since July 2023,https://adilet.zan.kz/kaz/docs/Z2300000018/info,https://adilet.zan.kz/eng/docs/Z2300000018,,,,
8,8.3,User identify requirements,0.50,"Law No. 567-V on Communications, 2004 (Қазақстан Республикасының 2004 жылғы 5 шілдедегі N 567 Заңы)

","Under Article 40 of Law on Communications, operators are prohibited from providing communication services without entering information on the subscriber into the system for collecting and storing service information. This effectively requires user identity registration for service provision.

According to article 39, cellular communication services can only be provided after a contract is concluded with accurate user identification.

","Since July 2004, last amended in August 2024",https://adilet.zan.kz/kaz/docs/Z040000567_,https://adilet.zan.kz/eng/docs/Z040000567_,,,,
8,8.4,Monitoring requirements,1,"Law No.18-VIII on Online Platforms and Online Advertising,  2023 (Қазақстан Республикасының Заңы 2023 жылғы 10 шiлдедегi № 18-VIII ҚРЗ)","Article 13 of the Law No.18-VIII stipulates that online platform provider is obliged to take measures to improve the content moderation systems, artificial intelligence algorithms, countering the placement and distribution of illegal content on the territory of the Republic of Kazakhstan. The online platform provider should publish a report about content moderation indicating deleted illegal content by automated moderation systems, the number of received instructions from the authorized body, user complaints and decisions made on them.",Since July 2023,https://adilet.zan.kz/kaz/docs/Z2300000018/info,https://adilet.zan.kz/eng/docs/Z2300000018,,,,
9,9.1,"Blocking or filtering commercial web content
Exception: Not score political content, criminal content (e.g., child pornography), aged-restricted content, defamation and other non-commercial content.",1,"Law No. 417-V On Informatization 2015 (Қазақстан Республикасының Заңы 2015 жылғы 24 қарашадағы № 418-V ҚРЗ) 
","Article 35(9) of Law No.417-V specifies that owners of internet resources are required to immediately take action to restrict access to prohibited information upon receiving a directive from authorized state bodies. 

Article 35(7) of Law No.417-V refers to information ""prohibited by a valid court decision or laws of the Republic of Kazakhstan."" This indicates that any content deemed illegal by a court ruling or existing laws would fall under the umbrella of ""prohibited information.

Article 14 of Law No.417-V defines “illegal content,” as the one that: 
- Endangers national security, promotes violence, or incites hatred.
- Reveals state secrets or protected personal data.
- Relates to pornography, drugs, and other illegal activities.",Since November 2015 last amended in June 2024 ,https://adilet.zan.kz/kaz/docs/Z1500000418,https://adilet.zan.kz/eng/docs/Z1500000418,,,0.630,
9,9.1,"Blocking or filtering commercial web content
Exception: Not score political content, criminal content (e.g., child pornography), aged-restricted content, defamation and other non-commercial content.",1,Internet Freedom Kazakhstan,"Internet Freedom Kazakhstan (IFKZ) and the Eurasian Digital Foundation, in collaboration with the Open Observatory on Net Interference (OONI), conducted a study of internet censorship in Kazakhstan for the period from June 2023 to June 2024. The study revealed numerous cases of blocking news sites, human rights resources, and tools to circumvent blocking. The study is based on network measurement data and legal analysis conducted by IFKZ experts.

In response an access-to-information inquiry, the MISD specified that in 2022, 14,469 pages were blocked following 774 requests from the regulator. Only 241 of those were registered in the .kz domain zone. Between January and May 2023, 6,175 more pages were blocked, 6,047 of which were based abroad. The main reasons for blocking included dissemination of false information, use of the internet to commit criminal and administrative offenses, terrorist and extremist propaganda, and copyright violations, as well as hosting content related to pornography, suicide, narcotics, and online gambling. According to the MISD, there are over 68,000 banned web pages as of May 2023.",Reported in August 2024,https://ifkz.org/en/article/internet-censorship-in-kazakhstan,,,,,
9,9.1,"Blocking or filtering commercial web content
Exception: Not score political content, criminal content (e.g., child pornography), aged-restricted content, defamation and other non-commercial content.",1,"Law No. 567-V on Communications, 2004 (Қазақстан Республикасының 2004 жылғы 5 шілдедегі N 567 Заңы)
","Article 41-1 of Law No. 567-V mandates ISPs and platform operators to block content that:
-Violates national security or public order 
- Includes unlawful advertisements, such as gambling ads without the proper license.
- Contains prohibited electoral information or content related to illegal public gatherings​","Since July 2004, last amended in August 2024",https://adilet.zan.kz/kaz/docs/Z040000567_,https://adilet.zan.kz/eng/docs/Z040000567_,,,,
9,9.2,Internet shutdowns,0.5,"V-Dem, variable v2smgovshut","The indicator ""6.2.4 - Government Internet shut down in practice"" of the V-Dem Dataset, which measures whether the government has the technical capacity to actively make internet service cease, thus interrupting domestic access to the internet or whether the government has decided to do so, has a score of 2.34 in Kazakhstan. This corresponds to ""Sometimes"". The government shut down domestic access to the Internet  several times this year"".",Reported in October 2024 with data from 2023  ,https://www.v-dem.net/vdemds.html,https://www.v-dem.net/data_analysis/CountryGraph/,,,,
9,9.3,"Online advertising requirements
Exception: Not score requirements that advertising should not be misleading",1,"Law No. 508 on Advertising, 2003 (Қазақстан Республикасының 2003 жылғы 19 желтоқсандағы N 508 Заңы)","According to the Article 7 of the Advertisement Law, advertisement that contains a comparison of the advertised goods (works, services) with the goods (works, services) of other individuals or legal entities, as well as statements, images, discrediting their honour, dignity and business reputation, is prohibited. Advertisement, regardless of the form or used means of distribution (placement), should be reliable, recognizable without special knowledge or the use of special tools, directly at the time of its presentation.

According to Article 13, certain types of products, including alcohol, tobacco, and services like lotteries, have strict advertising limitations. These restrictions apply to online advertising as well, with some types of products prohibited from being advertised altogether​.

Article 14 mandates that the advertising of financial services and products, including securities, has strict prohibitions against exaggerating the potential for returns. This regulation applies to both online and offline platforms​

",Since December 2003 amended in August 2024 ,https://adilet.zan.kz/kaz/archive/docs/Z030000508_/17.01.2014,http://adilet.zan.kz/eng/docs/Z030000508_,,,,
9,9.3,"Online advertising requirements
Exception: Not score requirements that advertising should not be misleading",1,"Law No.18-VIII on Online Platforms and Online Advertising,  2023 (Қазақстан Республикасының Заңы 2023 жылғы 10 шiлдедегi № 18-VIII ҚРЗ)","Article 19 of Law No.18-VIII mandates that online advertising must be clearly identifiable and labeled. 

Article 21 of the same law requires that sponsored content, which falls under the umbrella of online advertising, must be labeled and cannot discredit individuals, organizations, or goods by making comparisons or negative statements. 

Article 22 of the law mandates that platforms must provide technical means for users to identify online advertising and ensure its storage for one year. This provision introduces an indirect limitation, as platforms need to maintain and safeguard records of their advertising, ensuring compliance with potential regulatory reviews",Since July 2023,https://adilet.zan.kz/kaz/docs/Z2300000018/info,https://adilet.zan.kz/eng/docs/Z2300000018,,,,
9,9.4,"Licensing requirements for online content providers and applications (social media platforms, new providers, VPN, cloud servics, etc.)
Exception: Not cover license for telecommunication facilities and service providers (captured under Pillar 5), License for e-commerce platform (captured under Pillar 12)",0,"Law No.18-VIII on Online Platforms and Online Advertising,  2023 (Қазақстан Республикасының Заңы 2023 жылғы 10 шiлдедегi № 18-VIII ҚРЗ)","Article 9(1) of Law No.18-VIII outlines that any online platform operating in Kazakhstan with more than 100,000 daily users must appoint a legal representative for communication with the authorized body. These platforms are required to take strict measures to combat illegal content and adhere to content moderation policies. Non-compliance may result in blocking or suspension of their activities in Kazakhstan​

Article 9(2) of the Law No.18-VIII states that the authorized body maintains a register of legal representatives of online platforms on the territory of the Republic of Kazakhstan in the order determined by it.

While the Law contains strict regulatory provisions for the operation of online platforms in Kazakhstan, it doesn't explicitly mention a licensing requirement.",Since July 2023,https://adilet.zan.kz/kaz/docs/Z2300000018/info,https://adilet.zan.kz/eng/docs/Z2300000018,,,,
10,10.1,"Import ban applied to ICT goods and online services (e.g. network equipment, servers, handsets, applications, and data processing)",0,"Treaty on the Eurasian Economic Union ; 

Decision No.30 of the Collegium of the Eurasian Economic Commission “On Measures of Non-Tariff Regulation” of 21 April 2015

","The list of goods subject to import and export prohibitions or restrictions in the Eurasian Economic Union, including Kazakhstan, is determined by the Decision of the Board of Eurasian Economic Commission dating 2012. 

Non-tariff measures in the EAEU are applied uniformly vis-à-vis third parties. Articles 46 (Non-Tariff Regulation Measures) and 47 (Unilateral Application of Non-Tariff Regulation Measures) of the EAEU Treaty are the main provisions for application of non-tariff measures by the EAEU countries. These articles refer to Annex 7 of the EAEU Treaty, which further elaborates on non-tariff measures in the EAEU. 

Particularly, Article 46 refers to non-tariff measures, such as prohibitions, quantitative restrictions, exclusive rights, automatic licensing (surveillance), and licensing/authorization procedures. Article 47 allows unilateral introduction of non-tariff measures by a member State. The EAEU’s uniform prohibitions and restrictions are designated in the Single List of Goods to which Non-Tariff Regulation Measures are Applied in Trade with Third Countries (Decision of the Collegium of the Eurasian Economic Commission (EEC) No. 30 “On Measures of Non-Tariff Regulation” of 21 April 2015). Annexes 1 and 2 of the said decision refers to goods which are prohibited and restricted, respectively. Kazakhstan, if necessary, makes use of Article 47 (Unilateral Application of Non-Tariff Regulation Measures) by adopting legal acts prohibiting/restricting imports/exports (in a form of orders of relevant state bodies). 

According to Section 1 of the so called ""Single List"" contained in the Decision, no prohibition exists on the import of digital goods, except for the prohibition of importation of the audiovisual materials and other information media containing information against the public morals, public order and security. Such information includes content promoting extremism or terrorism, pornographic materials, political and economic interests of the state, including national security, public health and morals of the citizens, among others.","Since January 2015;

Since May 2015",https://docs.eaeunion.org/docs/en-us/0003610/itia_05,https://docs.eaeunion.org/docs/ru-ru/01410399/clcd_03062016_57,,,0.580,
10,10.1,"Import ban applied to ICT goods and online services (e.g. network equipment, servers, handsets, applications, and data processing)",0.50,"Law No. 567-V on Communications, 2004 (Қазақстан Республикасының 2004 жылғы 5 шілдедегі N 567 Заңы) ;

Law No.18-VIII on Online Platforms and Online Advertising,  2023 (Қазақстан Республикасының Заңы 2023 жылғы 10 шiлдедегi № 18-VIII ҚРЗ) 
","In March 2023, hidemy.name, a Belize-based VPN service that was banned along with approximately 150 other VPNs in 2020, stated that it would appeal the ban in courts.

This decision was taken on the basis of article 41-1 of the Law on Communications which provides the basis for the suspension or termination of services like VPNs that are used to bypass governmental controls on content distribution. The law allows the state to block services that do not comply with its regulatory framework

Since July 2023, article 14 of the Law on Online Platforms and Online Advertising prohibits the distribution of illegal content, including content that undermines state security or promotes extremism. It allows authorities to suspend or terminate access to online platforms or services that fail to comply with these provisions​.","Last reported in March 2023;

Since July 2004, last amended in August 2024; 

Since July 2023",https://adilet.zan.kz/kaz/docs/Z040000567_,https://adilet.zan.kz/kaz/docs/Z2300000018/info,,,,
10,10.2,Other import restrictions on ICT goods and online services,0.50,"Treaty on the Eurasian Ecomic Union ; 

Decision No.30 of the Collegium of the Eurasian Economic Commission “On Measures of Non-Tariff Regulation” of 21 April 2015

","Licensing procedures are applied to the importation of certain digital goods to the territory of the Eurasian Economic Union, including Kazakhstan. These digital goods are the following: (i) Civil radio-electronic equipment and/or high-frequency devices including those which are built-in or form a part of other goods; (ii) Special hardware meant for secret information acquisition; (iii) Encryption devices.

Non-tariff measures in the EAEU are applied uniformly vis-à-vis third parties. Articles 46 (Non-Tariff Regulation Measures) and 47 (Unilateral Application of Non-Tariff Regulation Measures) of the EAEU Treaty are the main provisions for application of non-tariff measures by the EAEU countries. These articles refer to Annex 7 of the EAEU Treaty, which further elaborates on non-tariff measures in the EAEU. Particularly, Article 46 refers to non-tariff measures, such as prohibitions, quantitative restrictions, exclusive rights, automatic licensing (surveillance), and licensing/authorization procedures. Article 47 allows unilateral introduction of non-tariff measures by a member State. The EAEU’s uniform prohibitions and restrictions are designated in the Single List of Goods to which Non-Tariff Regulation Measures are Applied in Trade with Third Countries (Decision of the Collegium of the Eurasian Economic Commission (EEC) No. 30 “On Measures of Non-Tariff Regulation” of 21 April 2015). Annexes 1 and 2 of the said decision refers to goods which are prohibited and restricted, respectively. Kazakhstan, if necessary, makes use of Article 47 (Unilateral Application of Non-Tariff Regulation Measures) by adopting legal acts prohibiting/restricting imports/exports (in a form of orders of relevant state bodies). According to Section 1 of the so called ""Single List"" contained in the Decision, no prohibition exists on the import of digital goods, except for the prohibition of importation of the audiovisual materials and other information media containing information against the public morals, public order and security. Such information includes content promoting extremism or terrorism, pornographic materials, political and economic interests of the state, including national security, public health and morals of the citizens, among others.    ","Since January 2015;

Since May 2015",https://docs.eaeunion.org/docs/en-us/0003610/itia_05,https://docs.eaeunion.org/docs/ru-ru/01410399/clcd_03062016_57,,,,
10,10.2,Other import restrictions on ICT goods and online services,0.50,Law No. 417-V On Informatization 2015 (Қазақстан Республикасының Заңы 2015 жылғы 24 қарашадағы № 418-V ҚРЗ) ,"Article 7-6(7) of the Law No.418-V on Informatization, which grants the authorized body the power to develop and approve rules for the formation and maintenance of a register of trusted software and electronic products, impacts the indicator on import restrictions for ICT goods and online services. This provision means that only software and products meeting specific criteria can be included in the register of trusted items, potentially adding regulatory compliance burdens on businesses. Companies importing ICT goods must ensure their products meet these criteria to be approved for use or sale, effectively imposing an additional layer of compliance. 
","Since November 2015 last amended in June 2024
",https://adilet.zan.kz/kaz/docs/Z1500000418,https://adilet.zan.kz/eng/docs/Z1500000418,,,,
10,10.3,Local content requirements ,0,"Law No. 417-V On Informatization 2015 (Қазақстан Республикасының Заңы 2015 жылғы 24 қарашадағы № 418-V ҚРЗ)  ;

Order of the Minister of Defense and Aerospace Industry of the Republic of Kazakhstan No. 53/НК on approval of the Rules for the formation and maintenance of a register of trusted software and electronics industry products, as well as criteria for including software and electronics industry products in the register of trusted software and electronics industry products 2018 (Қазақстан Республикасының Қорғаныс және аэроғарыш өнеркәсібі министрінің 2018 жылғы 28 наурыздағы № 53/НҚ бұйрығы. Қазақстан Республикасының Әділет министрлігінде 2018 жылғы 12 сәуірде № 16750 болып тіркелді.)","Article 3(1) of the Informatization Law mentions the aim of developing domestic value in the production of goods, works, and services within ICT. This could be interpreted as a state-driven incentive to prioritize local production, which aligns with the concept of local content requirements. However, it doesn't explicitly mandate LCRs at the product or sectoral levels.
The law outlines the goal of improving local ICT capabilities but does not enforce specific product-level LCRs as required by the indicator.

According to Chapter 2, Article 10(1) of  the Order No. 53/НК in order to be registered in the register, the exclusive rights to the software must belong to a Kazakh entity or natural person which implies a preference for domestically produced software but does not impose LCRs on ICT hardware or services at the product level.

","Since November 2015 last amended in June 2024;

Since March 2018, last amended in February 2024",https://adilet.zan.kz/kaz/docs/Z1500000418,https://adilet.zan.kz/eng/docs/Z1500000418,https://adilet.zan.kz/kaz/docs/V1800016750,https://adilet.zan.kz/rus/docs/V1800016750,,
10,10.4,Export restrictions on ICTgoods and online services,1,"Decision No. 134 of EEC Board, Single list of goods subject to prohibitions or restrictions on import or export by the Customs Union member states within the EurAsEC when trading with third countries and Provisions on application of restrictions 2012 ;


Decision No.30 of the Collegium of the Eurasian Economic Commission “On Measures of Non-Tariff Regulation” of 21 April 2015

","The EEC's Decision No. 134 outlines export restrictions on certain digital goods, specifically targeting special hardware and encryption devices under its ""Single List"" of goods subject to trade limitations. According to Section 2.17, any export of “special technical means intended for secretly obtaining information” is tightly controlled and can only proceed with a license from Russia’s Ministry of Industry and Trade, as detailed in Appendix No. 16. This provision regulates the export of surveillance equipment, ensuring only authorized entities may trade in such goods, thereby addressing security concerns. Similarly, Section 2.19 regulates the export of “encryption (cryptographic) means,” requiring either a customs notification or a license from Russia’s Ministry of Industry and Trade, as specified in Appendix No. 9. This requirement restricts the export of encryption tools, ensuring compliance with national security measures across the EAEU, including in Kazakhstan. 

","Since August 2012 ;

Since May 2015",http://www.eurasiancommission.org/_layouts/Lanit.EEC.Desicions/Download.aspx?IsDlg=0&ID=176&print=1,http://www.eurasiancommission.org/ru/Lists/EECDocs/K_P1_134.pdf,https://docs.eaeunion.org/docs/ru-ru/01410399/clcd_03062016_57,,,
